name,_L,_a,_b
Dandelion,88.25284787404539,-12.501716583639189,80.09665962765985
Dark_Blue,14.752754191286908,50.42221970349839,-68.67921834046827
Dark_Brown,31.55854825478476,10.875752630464032,26.188919985478655
Dark_Byzantium,29.14304401529946,20.611920776373054,-9.685455890864114
Dark_Candy_Apple_Red,33.76355873629128,57.56274467155842,47.94673452920981
Dark_Cerulean,28.936614682747603,5.310197137049055,-37.22524108138363
Dark_Chestnut,49.037315880301236,17.617324880759956,12.63712404566295
Dark_Coral,52.8340677513895,43.71371609759017,34.626416579320384
Dark_Cyan,52.20546965958859,-30.622169778783682,-8.995082281900801
Dark_Electric_Blue,42.90629892873632,-3.7268969287996834,-11.48748351188129
Dark_Goldenrod,59.22078590137896,9.864088461058296,62.73059093318607
Dark_Gray,69.23779560557698,-0.001803909411235427,0.0034193738033927445
Dark_Green,17.42190689489403,-21.09765399689893,7.120036744333413
Dark_Imperial_Blue,26.21725289904537,-1.21522050554973,-28.93333541234965
Dark_Jungle_Green,13.176027184481082,-5.232421371777541,0.5584360389677689
Dark_Khaki,73.3821009728476,-8.788842762162519,39.293888214877406
Dark_Lava,26.273699617739652,3.419693012723463,8.136046961690525
Dark_Lavender,40.30985735914918,29.688010132361637,-33.407964261335486
Dark_Magenta,32.599758748468034,62.55088289422026,-38.728391844007106
Dark_Midnight_Blue,21.30642136768597,6.816416906603839,-34.21149720932636
Dark_Olive_Green,42.23397747321704,-18.82847924053832,30.599608598494545
Dark_Orange,69.48535254005431,36.825062128580335,75.48694479520869
Dark_Orchid,43.3796539194842,65.1519338805172,-60.09441205278314
Dark_Pastel_Blue,63.905480883629,-1.69657463018702,-27.268143355874198
Dark_Pastel_Green,68.0520260197534,-66.38552628449223,52.974952640397056
Dark_Pastel_Purple,54.7696563152506,36.8815736654623,-47.57045456048657
Dark_Pastel_Red,45.24323820103667,52.503572891534844,44.624486247874515
Dark_Pink,56.97075800151151,60.240185211472955,6.505115070865974
Dark_Powder_Blue,25.762508197589575,28.882292698818755,-59.09036766207731
Dark_Raspberry,32.31727867635437,45.36342203990254,-6.189176590499756
Dark_Red,28.089639257590797,50.999581052771106,41.29056063964677
Dark_Salmon,69.85626128687774,28.17311563596614,27.714141867833163
Dark_Scarlet,16.07636536086398,36.324536990729406,11.879264914194032
Dark_Sea_Green,72.08679421922686,-23.821085224925987,18.040778250946232
Dark_Sienna,12.682554931187958,19.72278890325724,9.916445056906536
Dark_Slate_Blue,30.82803701625363,26.049119904979655,-42.07984475114203
Dark_Slate_Gray,31.25525511765091,-11.721042660591568,-3.7215984572258165
Dark_Spring_Green,42.224418415122564,-37.04253522032955,17.762257036565675
Dark_Tan,54.35986704900965,-0.9418717487291173,28.21065198246603
Dark_Tangerine,75.64653658681924,22.52601066380022,77.2270984716611
Dark_Taupe,26.273699617739652,3.419693012723463,8.136046961690525
Dark_Terra_Cotta,50.76025405876713,51.00103357030489,18.565976244526016
Dark_Turquoise,75.2903000843251,-40.04593801549655,-13.509156290621327
Dark_Violet,39.579007633612676,76.32062809612941,-70.36321179418562
Dark_Yellow,56.41113654023147,-3.9674270493532116,59.08394251187292
Dartmouth_Green,41.07878539041708,-40.42211234796048,21.364610327621534
DavyS_Grey,36.145850839719834,-0.0011035760652811089,0.002091867287856708
Debian_Red,46.033234458765705,71.89833251688138,18.032392630737103
